time_s,u_mps,v_mps,w_mps,p_radps,q_radps,r_radps,q0,q1,q2,q3,north_m,east_m,altitude_m,canard_rad,elevon_left_rad,elevon_right_rad,rudder_rad,throttle
0,199.99995554,0,0.133356729853,0,0,0,0.987688285704,0.156434456346,0.000329287236338,-5.21539746334e-05,0,0,5000,0,0.00802772413811,0.00802772413811,0,0.142813141239
0.05,199.999958055,0.136793062762,0.110679016914,-0.0713239944147,-3.18815821727e-06,0.00315875380598,0.987800715394,0.155722962597,0.000324329830268,-1.99292377662e-05,10.0000000753,0.00169682882803,4999.99971704,0,0.333701866513,-0.31753466056,0.0182218083173,0.14281222798
0.1,200.00001757,0.230216075897,0.0914552202589,-0.176025417422,-1.18649751865e-06,0.00700421676684,0.988278774675,0.152659619083,0.000303856079112,0.000109083862751,20.0000003655,0.0107687391606,4999.99818852,0,0.33999089483,-0.32388150371,0.0263365184899,0.142809825783
0.15,200.000179736,0.287976871915,0.0782566353871,-0.263071655135,0.000278208734765,0.00898582523277,0.989109485076,0.147181021545,0.000274773784076,0.000312935237389,30.0000006261,0.0269534261314,4999.99539615,0,0.258723568088,-0.242927126738,0.0293627769028,0.142807251217
0.2,200.000430106,0.328925545009,0.0739556033223,-0.322801192243,0.000828993730626,0.00897795886602,0.99016826264,0.139880140539,0.000252237694565,0.000542512721677,40.000000888,0.0499173744035,4999.99136294,0,0.170219688055,-0.154610745201,0.0293537055877,0.142805313947
0.25,200.000725067,0.369206965722,0.0789354292407,-0.357909172781,0.00137808179931,0.00751384954927,0.991328267663,0.131406374942,0.000245937689973,0.000754898295371,50.0000010111,0.0792711803857,4999.9861714,0,0.0965078765192,-0.0808488569177,0.0274516226962,0.142804235509
0.3,200.001018467,0.419285847669,0.0910906754939,-0.373834315746,0.00173437288751,0.00519363252681,0.992492601826,0.122300945576,0.000256898174331,0.000920888585967,60.0000005181,0.114583614204,4999.97996199,0,0.0406954878841,-0.0248895430128,0.0244463117601,0.142803846945
0.35,200.00127045,0.484413838534,0.107635798424,-0.375790905795,0.00187485619482,0.00251031679106,0.993597537208,0.112972584381,0.000281486261873,0.00102469448516,69.999998768,0.155390627603,4999.97291344,0,0.000469089515082,0.0154639903873,0.0209197935806,0.142803822448
0.4,200.00144777,0.56591983892,0.12624200116,-0.368027447054,0.00184511824629,-0.000180406689257,0.994606561943,0.103713844297,0.000315062011163,0.00106121512947,79.9999951792,0.201203485458,4999.96522124,0,-0.0274831010244,0.0434985627213,0.0172952280351,0.14280385231
0.45,200.001523982,0.662489752578,0.145191171757,-0.353791767127,0.00169292205051,-0.00264527123138,0.995502840619,0.094725406867,0.000353287691315,0.0010328609108,89.9999893586,0.25151769928,4999.95708195,0,-0.0461794441071,0.0622373590346,0.013866347497,0.142803731066
0.5,200.001481131,0.771215865335,0.163270501954,-0.335488259836,0.0014627149884,-0.00474780686045,0.996282642213,0.0861385299769,0.000392501343383,0.000946794753798,99.9999811572,0.305822104215,4999.94868256,0,-0.0580595304069,0.0741214057177,0.0108223736731,0.142803379012
0.55,200.001311314,0.888387853911,0.179721520101,-0.314860507581,0.00119800050929,-0.00642334090658,0.9969503269,0.0780333271118,0.000429993093478,0.000812809526045,109.999970685,0.363607405999,4999.9401932,0,-0.0649972807159,0.0810281747511,0.00827077013344,0.142802825913
0.6,200.001017,1.01005659142,0.194178864841,-0.293151013874,0.000934858072316,-0.00765794000844,0.997514790758,0.0704529272286,0.000464103085925,0.000641772130846,119.999958291,0.424373923416,4999.93176309,0,-0.0683959402418,0.084371020838,0.00625739010464,0.142802178673
0.65,200.000610122,1.13241628272,0.206559370382,-0.271228845861,0.000697020565366,-0.00847174365452,0.997987073942,0.0634141824579,0.000494069262713,0.000444526801585,129.999944517,0.487638318778,4999.92351923,0,-0.0692936225212,0.0851998985617,0.00478336003955,0.142801585943
0.7,200.000110193,1.25204719852,0.21694758576,-0.249687842487,0.000496917833025,-0.00890619841933,0.998378828365,0.0569156522549,0.000519769799494,0.000231169417757,139.999930026,0.552939127526,4999.91556705,0,-0.068453482169,0.0842872202356,0.00381870037484,0.1428012069
0.75,199.999541807,1.36605353985,0.225512737308,-0.228920806551,0.000338918825365,-0.00901451281923,0.998701390238,0.0509434962712,0.000541489473102,1.06124196952e-05,149.999915536,0.619841011006,4999.9079921,0,-0.0664335298505,0.0821972930102,0.00331312705529,0.142801187679
0.8,199.99893191,1.47212409358,0.232455291802,-0.209174990454,0.000221895772631,-0.00885470450698,0.998965262568,0.0454757839865,0.000559738094114,-0.000209633817197,159.99990176,0.687937776689,4999.90086229,0,-0.0636394680883,0.0793400492739,0.00320451333471,0.14280164616
0.85,199.998307255,1.56853786449,0.237972427722,-0.190593315802,0.000141091853341,-0.00848470506264,0.999179866069,0.0404856161543,0.000575111531194,-0.000423524883442,169.999889344,0.756854279157,4999.89423019,0,-0.0603645996273,0.0760113847252,0.00342539413266,0.142802664209
0.9,199.997692315,1.65413227781,0.242237730266,-0.173244828153,8.97690561029e-05,-0.00795907532215,0.999353459215,0.0359433604116,0.000588192124929,-0.0006264397315,179.999878834,0.82624734535,4999.88813541,0,-0.0568196739043,0.0724232076877,0.00390782580875,0.142804285766
0.95,199.997107813,1.72824765861,0.245392820509,-0.157147079338,6.05793888475e-05,-0.0073269616171,0.999493159802,0.031818230416,0.000599487627071,-0.000815068856729,189.999870645,0.895805879396,4999.88260656,0,-0.0531549372779,0.0687258429518,0.00458687499662,0.142806519069
1,199.996569884,1.79065847186,0.247547372532,-0.142282483201,4.64982711424e-05,-0.00663098984973,0.999605023137,0.0280793814415,0.00060940195661,-0.000987261898111,199.999865045,0.965250302515,4999.87766305,0,-0.0494763555519,0.0650246659612,0.00540297854864,0.142809341495
1.05,199.996089799,1.84149915378,0.248783725699,-0.128610189199,4.13583941884e-05,-0.00590685030008,0.999694147893,0.0246966521659,0.000618228106048,-0.0011418560301,209.999862153,1.03433147424,4999.87331654,0,-0.045857561457,0.0613923590239,0.00630338905472,0.142812705745
1.1,199.995674153,1.88119018261,0.24916345356,-0.116074635033,4.01114293766e-05,-0.00518337339636,0.999764791509,0.0216410495195,0.000626155094085,-0.00127850047443,219.999861942,1.10282922637,4999.86957205,0,-0.0423486455755,0.0578778977364,0.00724289730605,0.14281654641
1.15,199.995325376,1.91036826125,0.248734341946,-0.1046116487,3.89083022683e-05,-0.00448293725311,0.999820484347,0.0188850485908,0.00063328317855,-0.00139748764712,229.999864254,1.17055062387,4999.86642897,0,-0.0389826019722,0.0545131273302,0.00818400170241,0.14282078627
1.2,199.995042442,1.92982307362,0.247536810838,-0.0941527506176,3.5051362917e-05,-0.0038220825619,0.999864136521,0.0164027608274,0.000639643004069,-0.00149959772893,239.999868815,1.23732804993,4999.86388175,0,-0.035780041422,0.0513175641651,0.00909667257478,0.142825341912
1.25,199.994821657,1.94044198518,0.245609191204,-0.0846281407445,2.68642944488e-05,-0.00321223987584,0.999898134437,0.0141700096823,0.000645215455317,-0.00158596060607,249.999875255,1.30301719544,4999.86192051,0,-0.0327526348201,0.0483018888467,0.00995783666724,0.142830128443
1.3,199.99465745,1.94316323964,0.242991608337,-0.0759687309036,1.3521369837e-05,-0.00266049887383,0.999924425937,0.0121643423217,0.000649950087054,-0.00165793701041,259.999883129,1.36749501847,4999.86053152,0,-0.0299056274883,0.0454704795675,0.0107506846394,0.142835063235
1.35,199.994543087,1.93893761214,0.239728482282,-0.0681074888071,-5.13391642394e-06,-0.00217036928031,0.999944594079,0.0103649981626,0.000653780956658,-0.00171701916271,269.999891941,1.43065772512,4999.85969768,0,-0.0272396732995,0.0428232464441,0.0114638833952,0.142840068717
1.4,199.994471293,1.9286980736,0.235869801324,-0.0609802900849,-2.87627294185e-05,-0.001742499235,0.999959920253,0.00875284919793,0.000656639357069,-0.00176475017189,279.99990116,1.49241881166,4999.85939884,0,-0.0247521719103,0.0403569590928,0.0120907559892,0.142845074311
